2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: Solving single objective optimization problem.
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 1, Current best: 59865.238315967996, Global best: 59865.238315967996, Runtime: 0.00451 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 2, Current best: 44783.76635081301, Global best: 44783.76635081301, Runtime: 0.00443 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 3, Current best: 25579.664041072017, Global best: 25579.664041072017, Runtime: 0.00447 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 4, Current best: 30855.052118296277, Global best: 25579.664041072017, Runtime: 0.00475 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 5, Current best: 28512.82590368269, Global best: 25579.664041072017, Runtime: 0.01411 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 6, Current best: 22700.234475697176, Global best: 22700.234475697176, Runtime: 0.01195 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 7, Current best: 21034.35008556691, Global best: 21034.35008556691, Runtime: 0.00676 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 8, Current best: 18803.46178648617, Global best: 18803.46178648617, Runtime: 0.00630 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 9, Current best: 19906.94769565851, Global best: 18803.46178648617, Runtime: 0.00542 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 10, Current best: 16465.003024278765, Global best: 16465.003024278765, Runtime: 0.00512 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 11, Current best: 16465.003024278765, Global best: 16465.003024278765, Runtime: 0.00505 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 12, Current best: 16157.769351144263, Global best: 16157.769351144263, Runtime: 0.01161 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 13, Current best: 13893.030422658261, Global best: 13893.030422658261, Runtime: 0.00817 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 14, Current best: 13977.450773223201, Global best: 13893.030422658261, Runtime: 0.00607 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 15, Current best: 14222.004775168925, Global best: 13893.030422658261, Runtime: 0.00954 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 16, Current best: 11147.958524128231, Global best: 11147.958524128231, Runtime: 0.01200 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 17, Current best: 11147.958524128231, Global best: 11147.958524128231, Runtime: 0.00916 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 18, Current best: 10216.567378257758, Global best: 10216.567378257758, Runtime: 0.01059 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 19, Current best: 5949.105314959098, Global best: 5949.105314959098, Runtime: 0.00454 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 20, Current best: 6351.003276775409, Global best: 5949.105314959098, Runtime: 0.00437 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 21, Current best: 11042.269357914338, Global best: 5949.105314959098, Runtime: 0.00455 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 22, Current best: 7519.443645906022, Global best: 5949.105314959098, Runtime: 0.00554 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 23, Current best: 9071.961419508018, Global best: 5949.105314959098, Runtime: 0.00502 seconds
2022/07/10 02:57:31 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 24, Current best: 8781.855633924213, Global best: 5949.105314959098, Runtime: 0.01263 seconds
