2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: Solving single objective optimization problem.
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 1, Current best: 51068.883414458935, Global best: 51068.883414458935, Runtime: 0.00760 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 2, Current best: 43124.35002272349, Global best: 43124.35002272349, Runtime: 0.00614 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 3, Current best: 28164.733673757513, Global best: 28164.733673757513, Runtime: 0.00527 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 4, Current best: 23134.05446144783, Global best: 23134.05446144783, Runtime: 0.01334 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 5, Current best: 14567.462945324778, Global best: 14567.462945324778, Runtime: 0.00473 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 6, Current best: 14728.165136610149, Global best: 14567.462945324778, Runtime: 0.00447 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 7, Current best: 17824.691873901487, Global best: 14567.462945324778, Runtime: 0.00438 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 8, Current best: 15856.411553498878, Global best: 14567.462945324778, Runtime: 0.00517 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 9, Current best: 12237.77733804408, Global best: 12237.77733804408, Runtime: 0.00515 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 10, Current best: 9793.35133742224, Global best: 9793.35133742224, Runtime: 0.00530 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 11, Current best: 12699.467564792123, Global best: 9793.35133742224, Runtime: 0.00445 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 12, Current best: 12705.83983283416, Global best: 9793.35133742224, Runtime: 0.00429 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 13, Current best: 11756.351370252127, Global best: 9793.35133742224, Runtime: 0.00449 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 14, Current best: 8892.149742268817, Global best: 8892.149742268817, Runtime: 0.00436 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 15, Current best: 9903.646305897762, Global best: 8892.149742268817, Runtime: 0.00622 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 16, Current best: 12353.05530910508, Global best: 8892.149742268817, Runtime: 0.00475 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 17, Current best: 12197.099425995064, Global best: 8892.149742268817, Runtime: 0.00456 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 18, Current best: 10646.692105601282, Global best: 8892.149742268817, Runtime: 0.00437 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 19, Current best: 8194.623474955715, Global best: 8194.623474955715, Runtime: 0.00439 seconds
2022/07/10 02:55:36 PM, INFO, mealpy.evolutionary_based.GA.BaseGA: >Epoch: 20, Current best: 7886.57282117678, Global best: 7886.57282117678, Runtime: 0.00436 seconds
